Dimension,Severity_Percent,Mean_Delta_F1,Mean_Macro_F1
Completeness,10,2.3113242891580827,51.254264339250135
Completeness,20,4.04610162167558,49.519487006732625
Completeness,30,5.922383450830753,47.643205177577464
Consistency,10,1.153019673520238,52.41256895488797
Consistency,20,2.237281863996482,51.32830676441173
Consistency,30,3.5717855400140244,49.99380308839418
Textual Accuracy,10,1.1352679517380608,52.430320676670156
Textual Accuracy,20,2.456921152339594,51.108667476068625
Textual Accuracy,30,3.563276574321989,50.00231205408622
Understandability,10,0.7830516884042401,52.78253694000397
Understandability,20,0.8048236103350944,52.76076501807311
Understandability,30,1.4100514470682572,52.15553718133996
Validity,10,4.2763145868947365,49.28927404151347
Validity,20,7.529297083882881,46.036291544525334
Validity,30,10.835663185742987,42.72992544266523
