Model,Dimension,Severity_Percent,Clean_Macro_F1,Macro-F1,Accuracy,Delta-F1,Realized Severity
AraBERTv2,Completeness,10,58.54499610060613,55.91 ± 1.02,73.49 ± 0.57,2.63 ± 1.02,10.01%
AraBERTv2,Completeness,20,58.54499610060613,53.83 ± 1.04,72.54 ± 0.50,4.72 ± 1.04,19.97%
AraBERTv2,Completeness,30,58.54499610060613,52.29 ± 0.80,72.16 ± 0.55,6.25 ± 0.80,30.00%
AraBERTv2,Consistency,10,58.54499610060613,57.09 ± 0.54,73.76 ± 0.29,1.45 ± 0.54,10.02%
AraBERTv2,Consistency,20,58.54499610060613,56.20 ± 0.82,73.69 ± 0.37,2.35 ± 0.82,20.04%
AraBERTv2,Consistency,30,58.54499610060613,54.10 ± 1.11,72.94 ± 0.53,4.44 ± 1.11,29.98%
AraBERTv2,Textual Accuracy,10,58.54499610060613,57.15 ± 1.55,73.60 ± 0.71,1.40 ± 1.55,9.98%
AraBERTv2,Textual Accuracy,20,58.54499610060613,55.43 ± 1.19,72.56 ± 0.87,3.12 ± 1.19,19.99%
AraBERTv2,Textual Accuracy,30,58.54499610060613,54.22 ± 0.58,72.15 ± 0.34,4.32 ± 0.58,30.01%
AraBERTv2,Understandability,10,58.54499610060613,56.86 ± 0.50,73.49 ± 0.22,1.68 ± 0.50,9.82%
AraBERTv2,Understandability,20,58.54499610060613,56.55 ± 0.82,73.39 ± 0.50,2.00 ± 0.82,16.80%
AraBERTv2,Understandability,30,58.54499610060613,54.76 ± 1.12,72.57 ± 0.73,3.78 ± 1.12,24.94%
AraBERTv2,Validity,10,58.54499610060613,55.91 ± 0.95,74.55 ± 0.48,2.64 ± 0.95,9.97%
AraBERTv2,Validity,20,58.54499610060613,53.27 ± 0.87,74.41 ± 0.40,5.28 ± 0.87,20.04%
AraBERTv2,Validity,30,58.54499610060613,50.89 ± 0.75,73.90 ± 0.33,7.65 ± 0.75,29.94%
CAMeLBERT-Mix,Completeness,10,57.30662268364119,54.52 ± 0.23,73.21 ± 0.18,2.78 ± 0.23,10.01%
CAMeLBERT-Mix,Completeness,20,57.30662268364119,52.44 ± 1.22,72.28 ± 0.56,4.87 ± 1.22,19.97%
CAMeLBERT-Mix,Completeness,30,57.30662268364119,49.96 ± 1.38,71.63 ± 0.74,7.34 ± 1.38,30.00%
CAMeLBERT-Mix,Consistency,10,57.30662268364119,55.95 ± 0.46,73.24 ± 0.16,1.36 ± 0.46,10.02%
CAMeLBERT-Mix,Consistency,20,57.30662268364119,55.02 ± 0.86,72.61 ± 0.48,2.29 ± 0.86,20.04%
CAMeLBERT-Mix,Consistency,30,57.30662268364119,54.10 ± 0.88,72.33 ± 0.47,3.21 ± 0.88,29.98%
CAMeLBERT-Mix,Textual Accuracy,10,57.30662268364119,55.94 ± 0.92,73.06 ± 0.39,1.37 ± 0.92,9.98%
CAMeLBERT-Mix,Textual Accuracy,20,57.30662268364119,54.80 ± 1.10,72.24 ± 0.81,2.51 ± 1.10,19.99%
CAMeLBERT-Mix,Textual Accuracy,30,57.30662268364119,53.04 ± 1.05,70.50 ± 0.74,4.26 ± 1.05,30.01%
CAMeLBERT-Mix,Understandability,10,57.30662268364119,56.19 ± 0.75,73.66 ± 0.39,1.11 ± 0.75,9.82%
CAMeLBERT-Mix,Understandability,20,57.30662268364119,55.73 ± 0.91,73.09 ± 0.34,1.58 ± 0.91,16.80%
CAMeLBERT-Mix,Understandability,30,57.30662268364119,55.82 ± 0.56,73.32 ± 0.43,1.48 ± 0.56,24.94%
CAMeLBERT-Mix,Validity,10,57.30662268364119,51.29 ± 1.05,73.71 ± 0.51,6.01 ± 1.05,9.97%
CAMeLBERT-Mix,Validity,20,57.30662268364119,46.80 ± 0.60,72.90 ± 0.22,10.50 ± 0.60,20.04%
CAMeLBERT-Mix,Validity,30,57.30662268364119,42.10 ± 0.51,71.85 ± 0.16,15.21 ± 0.51,29.94%
XLM-R,Completeness,10,44.84514710097732,43.33 ± 0.57,70.85 ± 0.24,1.52 ± 0.57,10.01%
XLM-R,Completeness,20,44.84514710097732,42.29 ± 0.99,70.40 ± 0.17,2.55 ± 0.99,19.97%
XLM-R,Completeness,30,44.84514710097732,40.68 ± 0.84,69.75 ± 0.28,4.17 ± 0.84,30.00%
XLM-R,Consistency,10,44.84514710097732,44.20 ± 1.12,71.15 ± 0.42,0.64 ± 1.12,10.02%
XLM-R,Consistency,20,44.84514710097732,42.77 ± 0.14,70.42 ± 0.14,2.07 ± 0.14,20.04%
XLM-R,Consistency,30,44.84514710097732,41.78 ± 0.88,70.17 ± 0.21,3.06 ± 0.88,29.98%
XLM-R,Textual Accuracy,10,44.84514710097732,44.21 ± 0.98,70.94 ± 0.64,0.64 ± 0.98,9.98%
XLM-R,Textual Accuracy,20,44.84514710097732,43.11 ± 0.90,70.03 ± 0.49,1.74 ± 0.90,19.99%
XLM-R,Textual Accuracy,30,44.84514710097732,42.74 ± 1.01,69.86 ± 0.43,2.10 ± 1.01,30.01%
XLM-R,Understandability,10,44.84514710097732,45.29 ± 0.74,71.11 ± 0.37,-0.44 ± 0.74,9.82%
XLM-R,Understandability,20,44.84514710097732,46.00 ± 1.17,71.22 ± 0.32,-1.16 ± 1.17,16.80%
XLM-R,Understandability,30,44.84514710097732,45.88 ± 0.76,70.57 ± 0.52,-1.04 ± 0.76,24.94%
XLM-R,Validity,10,44.84514710097732,40.67 ± 0.63,70.86 ± 0.29,4.18 ± 0.63,9.97%
XLM-R,Validity,20,44.84514710097732,38.04 ± 1.28,70.50 ± 0.47,6.80 ± 1.28,20.04%
XLM-R,Validity,30,44.84514710097732,35.20 ± 0.83,69.73 ± 0.22,9.65 ± 0.83,29.94%
