Model,Dimension,Severity_Percent,Clean_Macro_F1,Macro-F1,Sarcastic-F1,Accuracy,Delta-F1,Realized Severity
AraBERTv2,Completeness,10,71.38842382205213,70.77 ± 0.61,55.68 ± 1.01,78.57 ± 0.37,0.62 ± 0.61,10.00%
AraBERTv2,Completeness,20,71.38842382205213,69.64 ± 0.59,53.49 ± 0.95,78.23 ± 0.42,1.75 ± 0.59,20.00%
AraBERTv2,Completeness,30,71.38842382205213,68.42 ± 0.64,51.27 ± 1.02,77.75 ± 0.44,2.96 ± 0.64,30.00%
AraBERTv2,Consistency,10,71.38842382205213,70.87 ± 0.41,56.12 ± 0.58,78.35 ± 0.35,0.51 ± 0.41,10.00%
AraBERTv2,Consistency,20,71.38842382205213,70.08 ± 0.45,54.68 ± 0.70,78.00 ± 0.32,1.31 ± 0.45,19.99%
AraBERTv2,Consistency,30,71.38842382205213,70.17 ± 0.66,54.59 ± 1.07,78.31 ± 0.44,1.22 ± 0.66,30.01%
AraBERTv2,Textual Accuracy,10,71.38842382205213,71.53 ± 0.24,57.52 ± 0.26,78.43 ± 0.29,-0.14 ± 0.24,9.99%
AraBERTv2,Textual Accuracy,20,71.38842382205213,71.49 ± 0.28,57.91 ± 0.33,77.95 ± 0.31,-0.10 ± 0.28,20.00%
AraBERTv2,Textual Accuracy,30,71.38842382205213,70.93 ± 0.59,57.25 ± 0.98,77.37 ± 0.37,0.46 ± 0.59,30.01%
AraBERTv2,Understandability,10,71.38842382205213,71.18 ± 0.43,56.51 ± 0.66,78.64 ± 0.31,0.21 ± 0.43,9.99%
AraBERTv2,Understandability,20,71.38842382205213,71.27 ± 0.58,56.54 ± 0.92,78.83 ± 0.39,0.12 ± 0.58,20.00%
AraBERTv2,Understandability,30,71.38842382205213,71.03 ± 0.44,56.04 ± 0.75,78.79 ± 0.24,0.35 ± 0.44,29.95%
AraBERTv2,Validity,10,71.38842382205213,69.72 ± 0.43,53.20 ± 0.62,78.73 ± 0.37,1.67 ± 0.43,10.03%
AraBERTv2,Validity,20,71.38842382205213,68.82 ± 0.26,51.42 ± 0.50,78.53 ± 0.11,2.57 ± 0.26,19.97%
AraBERTv2,Validity,30,71.38842382205213,68.09 ± 0.37,49.91 ± 0.63,78.45 ± 0.20,3.30 ± 0.37,30.01%
Twitter-RoBERTa-Irony,Completeness,10,64.32756104749376,63.78 ± 0.53,44.87 ± 0.85,73.65 ± 0.42,0.55 ± 0.53,10.00%
Twitter-RoBERTa-Irony,Completeness,20,64.32756104749376,62.22 ± 0.35,41.48 ± 0.51,73.59 ± 0.31,2.11 ± 0.35,20.00%
Twitter-RoBERTa-Irony,Completeness,30,64.32756104749376,61.14 ± 0.65,38.41 ± 1.24,74.43 ± 0.21,3.19 ± 0.65,30.00%
Twitter-RoBERTa-Irony,Consistency,10,64.32756104749376,63.43 ± 0.24,44.04 ± 0.37,73.71 ± 0.19,0.90 ± 0.24,10.00%
Twitter-RoBERTa-Irony,Consistency,20,64.32756104749376,62.57 ± 0.63,41.92 ± 1.02,73.95 ± 0.38,1.76 ± 0.63,19.99%
Twitter-RoBERTa-Irony,Consistency,30,64.32756104749376,61.64 ± 0.24,39.64 ± 0.41,74.25 ± 0.17,2.69 ± 0.24,30.01%
Twitter-RoBERTa-Irony,Textual Accuracy,10,64.32756104749376,64.32 ± 0.23,46.29 ± 0.40,73.43 ± 0.16,0.01 ± 0.23,9.99%
Twitter-RoBERTa-Irony,Textual Accuracy,20,64.32756104749376,64.25 ± 0.30,46.15 ± 0.48,73.40 ± 0.20,0.08 ± 0.30,20.00%
Twitter-RoBERTa-Irony,Textual Accuracy,30,64.32756104749376,64.30 ± 0.38,46.28 ± 0.63,73.40 ± 0.27,0.02 ± 0.38,30.01%
Twitter-RoBERTa-Irony,Understandability,10,64.32756104749376,64.39 ± 0.33,46.32 ± 0.53,73.57 ± 0.22,-0.07 ± 0.33,9.99%
Twitter-RoBERTa-Irony,Understandability,20,64.32756104749376,64.35 ± 0.43,46.44 ± 0.78,73.34 ± 0.20,-0.02 ± 0.43,20.00%
Twitter-RoBERTa-Irony,Understandability,30,64.32756104749376,64.14 ± 0.46,46.09 ± 0.75,73.21 ± 0.32,0.19 ± 0.46,29.95%
Twitter-RoBERTa-Irony,Validity,10,64.32756104749376,48.69 ± 0.32,13.12 ± 0.61,73.34 ± 0.08,15.64 ± 0.32,10.03%
Twitter-RoBERTa-Irony,Validity,20,64.32756104749376,47.71 ± 0.46,11.03 ± 0.85,73.44 ± 0.16,16.62 ± 0.46,19.97%
Twitter-RoBERTa-Irony,Validity,30,64.32756104749376,47.42 ± 0.34,10.46 ± 0.64,73.41 ± 0.10,16.91 ± 0.34,30.01%
