Model,Dimension,Mean_Delta_F1
AraBERTv2,Validity,5.188277817649434
AraBERTv2,Completeness,4.53491372678991
AraBERTv2,Textual Accuracy,2.9457499723188163
AraBERTv2,Consistency,2.7478237341294354
AraBERTv2,Understandability,2.4865830148920174
CAMeLBERT-Mix,Validity,10.575396137654758
CAMeLBERT-Mix,Completeness,4.99810522200174
CAMeLBERT-Mix,Textual Accuracy,2.7154597386383466
CAMeLBERT-Mix,Consistency,2.2868843230814004
CAMeLBERT-Mix,Understandability,1.3904515764883814
XLM-R,Validity,6.877600901216412
XLM-R,Completeness,2.7467904128727643
XLM-R,Consistency,1.9273790203199086
XLM-R,Textual Accuracy,1.4942559674424813
XLM-R,Understandability,-0.8791078455728071
