text,labels
ضبط شخص بدبلوم انتحل صفة طبيب بلد مافيش حد فيها بيشتغل بشهادته,1
مش معنى انك قولتلى رايك يبقى أنا هعمل بيه طب افرض انت حمار استحمر أنا كما زيك,1
اية المهلبية دي يصحبي,1
الحديث قياس فيه الفضة و فيه النحاس,1
ده فاكر نفسه باشا و بيه كمان,1
حامل في السادس وماكنتش ملاحظ ده قبل الجواز طب وبالنسبة لليلة الدخلة.,1
الدنيا عاملة زى اوضة وصالة كل ما امشى فى حته الاقى ايمن فى وشى,1
مهما دورت ولفيت عمرك ما هتلاقي حد يحس بيك غير كرشك,1
فلوس ايه يا امى اللى احوشها من شغلى ده أنا مافيش فلوس اروح الشغل بكره,1
وراء كل رجل عظيم امراه تقول له انت لست عظيما,1
نفسي افهم مين الي نزل الكائن ده كتالوج الحريم,1
سنة أغسطس بيكون فيها فجوة زمنية مجهولة الأيام بتبقى تصاعدي ليوم 15 وترجع تنازلي تاني ليوم 15,1
اللصوص مفيش اتعس منهم الناس قاعدة في البيوت ولو حبوا يتوبوا فالمساجد مقفولة,1
اللي تعرف ديته اقتله,1
مبروك كسبت جايزة اوبل في الذكاء,1
هيورينا ايام اسود من قرن الخروب,1
"فينجر طلب مني الخضوع لاختبار قبل ضمي للأرسنال، في البداية وافقت ثم أجبته كما يلي زلاتان لا يقوم بالاختبارات""  😂""",1
فيه ٣ في القاهرة حابسين نفسهم في بيوتهم حد يقولهم ينزلوا علشان نكمل لمتنا.,1
لي قرا قرا بكري,1
انا خايف أن بسبب الحظر أضطر اتفرج علي مسلسل نبيلة عبيد,1
يقولو بلي تكري فإيبيزا ولا فالسات تستقاملك كيف كيف كيما هدا لوتال,1
شهر سبتمبر عدى منها خمسة عشر يوم فى ثلاث ايام فقط ياريت كل الشهور تتعلم منه,1
الدنيا مترو والشمال كتروا,1
بوتفليقة قالكم رايحين تعيشو في جنة,1
الجنرال شنقريحة شرا المباراة باه يلهي الشباب عن الحراك واضحة,1
ميزانية الفيلم ده ماتعديش التسعه جنيه ونص ويقولك ان السينما عندنا قويه ومصروف عليها,1
تعالي كل مكرونا وانسي اللي حصل من ايفونا,1
تبدلني أنا 90 كيلو شحم ولحم بزوج كيلو بطاطا,1
انا لو انخطفت وطلبوا ٥٠٠٠ ابويا هيقول اقتلوه اوفر,1
ايه ياخد الريح من البلاط,1
ياريتنا افتكرنا ربع جنيه,1
حوحو يشكر روحو,1
تونس باريس تذكرة بثمنين اورو الجزائر باريس تذكرة بسبعمية و خمسين وزيد تركب في طيارة شغل سوناكوم,1
ده حيتحفل عليه,1
اللى يشوف الفنانين من غير مكياج يلطم,1
الباب الي يجيلك منه الريح شيله وركب قبنوري,1
2019: كسول ومش مستفيدين منه حاجة 2020: مواطن واعي ومسؤول,1
هم يزعلون لازم ( تقدر ظروفهم ) انت تزعل عيب انت جدار شفيك نسيت,1
في ناس بتاكل فاصوليا بالعيش الكيزر الله يرحم,1
روح العب مع الاسد اللي هناك دا,1
حتى المثل اتقلب دلوقتى ل امشى عدل يحتار عدوك و صديقك فيك,1
[ عندك سلـف ] : سؤال يثير الرعب في المجتمع ويؤدي الى قطع الأرحام والتفكك الاسري =)),1
من كتر فلوسك تسلف بنك,1
فلان مقطع حصر الجامع,1
داخل علمي رياضة وفاكر نفسه فيثاغورث,1
كل يوم يعددي يثبت ان اسرائيل دي بلد شوربة واخدة قوتها فالإعلام وبس,1
يا نهار ابيض ايه التور ده..محدش يلعب جنبه,1
الناس لسه بتتجوز بردو لا حول والا قوة الا بالله ماحدش بيتعظ,1
اي حاجة باصي لميسي,1
الاسعار نار .. الله ينور يا سيسي,1
الزمالك فريق فاشل وعشان مباره فازها شاف نفسه علينا,1
كلها مسلسلات الخطف ديه كفاية ضحك ع الناس,1
شاهد ابو صلاح يحمل عجوز ويعبر بها الشارع الله على اخلاقك يا فخر العرب,1
القوالب نامت والنصاص قامت عجيبه,1
فاكر نفسك نجيب محفوظ دا انت اخرك بتاع لبوس وبتشير علي البلوتوث 😒,1
فعلا قال علمنى الهيافة قاله تعالى فى الهايفة واتصدر,1
ذهب ليشتري حذاء فوجد الناس بدون رجلين ههههههههههههههههههههههههههههههههههههههههه,1
شامم ريحه مؤامره,1
هوا أحنا دخلنا النار,1
هل تعلم ان البنت القصيرة ربنا عوضها في لسانها,1
مرايه الحب عمياء,1
احنا غلابه بس ساعة الشر بنتغابى,1
عندما تفقد الاحا قدرتها على التعبير لابد ان ياتي الشخير طوابير,1
انت ايه يابني كانو بيرضعوك تلج وانت صغير,1
ماتش صعب ايه بس ده الفرقه كانت بتقابل نفسها,1
ياخبر النهارده بفلوس بكره يبقى ببلاش,1
أنت ترجع الغيط !,1
وجهها مثل الركبة و تقول تحرش 😂.,1
