Model,Dimension,Macro_F1_Mean,Delta_F1_Mean
AraBERTv2,Validity,68.09087202930496,3.2975517927471754
AraBERTv2,Completeness,68.42417486415486,2.9642489578972753
AraBERTv2,Consistency,70.16842119894689,1.2200026231052563
AraBERTv2,Textual Accuracy,70.93163843968358,0.45678538236854965
AraBERTv2,Understandability,71.0336222147519,0.3548016073002369
Twitter-RoBERTa-Irony,Validity,47.4213374885993,16.906223558894467
Twitter-RoBERTa-Irony,Completeness,61.138206332922785,3.189354714570976
Twitter-RoBERTa-Irony,Consistency,61.63668584883608,2.6908751986576807
Twitter-RoBERTa-Irony,Understandability,64.13620654861188,0.19135449888188827
Twitter-RoBERTa-Irony,Textual Accuracy,64.30280516730946,0.02475588018430841
