text,labels
#جاري_التحقيق-الحلقة الحادية عشر الأربعاء 15 رمضان - 24 يوليو 2013 الإعلامي خالد صلاح … … #يوسف_الح…,2
صحيفة الشرق القطرية/ #أوباما: #ميانمار لن تنجح إذا قمع #المسلمون #أخبار - عبر تطبيق نبض,2
فيه 3 شباب لابسين خوذ وشايلين عصيان بيوقفوا العربيات الملاكي عشوائيا ناصبة فندق شبرد الكورنيش لو عسكري واحد وقف حيمشيهم …,2
#اسكندرية : الاسكندرية على مر العصور ستظل مركز الحضارة والثقافة والنور للعالم د/ طه حسين,2
شفت كل شي بالحياه بس اول مرة اشوف شب حامل طبلة بالرابية بطبل عشان ال #عشنا_وشفنا,0
_96 سامي يعبث بتاريخ الزعيم جعل اكبر افراحنا الفوز ببطولة اولمبي #ارحل,1
الاثنين.. نظر طعن علاء عبدالفتاح ضد حبسه,2
ما يدعو للضحك والرثاء معا انا الإخوان بسبب غبائهم الفطري و نقيصتي الخيانة و الجبن المتأصلتين بهما يظنون ان الفرد يدافع عن بقائه لا وطنه #مصر,0
"خليكوا فاكرين ان #6ابريل دول كانوا بيقولوا #مرسي عايز يأخون القضاء لما حب يطهره""",2
وبعز الكلام سكت الكلام #عبدالحليم_حافظ,2
الثائر الحقيقي هو الذي يؤمن ان الجاهزية الثورية هيا صمام امان ثورته ووطنه لاينبغي ان يثق في احد #اليمن #الشعب_يقول_كلمته …,2
هجوم البلطجية تحت حماية الجيش والشرطة انطلق فى بورسعيد والزقازيق وبنها جرائم جديدة فى ملف عصابة الانقلاب الملف اكتظ وفاض,0
إخلاء سبيل #سما_المصرىوغرامة 20 ألف جنيه لاتهامها ببث قناة #فلول بدون ترخيص,2
أيامنا هذه هى أيام اختلال مفزع لمعايير الحكم على الأمور فى المجال العام فى مصر وفى بلاد العرب,0
صورة متحركة لهدف #ميسي /,2
المشرف على لجنة بالفيوم ليس القاضي المعلن عنه,2
قبل حدوث #الحرب_العالمية_الثالثة ستظهر قوى اخرى غير #روسيا و #الصين على هيئة دول او تحالفات عظمى #تنظير #سياسي,2
شعب #هاشتاج بطبعه :) :) :),2
القبض على الإخواني أسامة ياسين واعترافات خطيرة بالفرقة 95 إخوان #السادة_المحترمون …,2
"فيديو صادم أب روسي يدع ابنه يدخن و""الأم"" تضحك #العربية #روسيا",2
