text,labels
"""د. #محمود_العلايلي:أرى أن الفريق #أحمد_شفيق رقم مهم في المعادلة السياسية المصرية ولا يمكن إغفالههل ترى أن هذا صحيح؟#أربعة_زائد_واحد""",4
"""مع فيدرر يا آجا والكبار 😍 https://t.co/hrBeHbkBNu""",4
“الداعون لمبدأ الاختلاط بين الجنسين؛ كالداعين لإلغاء التسعيرة كلاهما يريد تصفية السوق السوداء بجعلها حرة.”  #الاختلاط,4
"""@ihe_94 @ya78m @amooo5 @badiajnikhar @Oukasafa @reoshalm @Mnory202 مساكين من الصبح و هوما رايحين راجعين عاى غوغل تعبت بدالهم ههههه ي""",1
"""قل شرق حلب ولا تقل حلب الشرقية ....وقل غرب حلب ولا تقل حلب الغربية ....فحلب موحدة ويريدونها منقسمة #حلب_تنتصر""",4
"""طبيب #المقاصة: إصابة #أحمد_الشيخ بسيطة تحتاج للراحة فقط https://t.co/VpTVCt8HKE""",4
مرسي : مش هنام اكتر من اربع ساعات في اليوم...... لو نمت دقيقة كمان زيادة هديك علي دماغك,0
#انتخبوا_البرص مشكلة,0
"""Retweeted هاشتاق العرب (@TheArabHash):#فيديو | أهالي #القدس يرفعون #الأذان فوق أسطح منازلهم تحدياً لقانون سلطة... https://t.co/g43i0Lmuwl""",4
▪️محافظ العاصمة تفقد سير العملية الانتخابية في عدد من لجان الاقتراع   تفقد محافظ العاصمة الشيخ طلال الخالد الأحمد الصباح، عددا من مقار اللجان الانتخابية في بعض مناطق المحافظة، وذلك لمتابعة سير عملية الاقتراع. https://t.co/Eaf0MMoOGP,4
"""الاتجاه: أوباما يصل الى إسرائيل للمشاركة بدفن بيريس: الاتجاه برس / وكالاتوصل الرئيس الأمريكي باراك أوباما وز... https://t.co/FB2DriOSed""",4
"""@Eyaaaad والله ما عليش مايمدي ايفون سبع يا حبيبي""",1
اف هذا🤢,2
"""ريال مدريد - كلوب أميركا، نصف النهائيالساعه ١/٣٠ الظهر هلا مدريييد ولاشيئ اخر ❤️❤️❤️""",4
"""@kdriyadh @nevermind330 وقت الشدة في ظنتي الجيش المصري حيوقف مع السعودية ماراح يتبعو سيسي ولا غيروا عشان كذا لعاد يوزعو فلوس خلاص كفاية""",0
"""عمليات الأنبار تحرر جزيرة هيت بالكامل من مجرمي داعش  إذاعة #البيان  https://t.co/e2AkVg9QYi :""",4
"""القطريين اختتطفو لانهم من الاسره الحاكمه وليس لانهم سنه لغرظ مساومتهم في اسراهم في سوريا من حزب الله والله يفك اسرا… https://t.co/gYWdMLfZuG""",4
"""انت لسه مبقتش من شركاء اوبر !! :/الفرصه لسه فأديك .. و بـ 4 خطوات بس ;)1- هتجيب فيش وتشبيه موجه لشركه #اوبر2-... https://t.co/trtb71pTL7""",0
"""مفحوص مفعوص من #حماة المحتله ترك حماة وحلب والساحل النصيري وذهب يشتغل كلب عند الناتو لجهنم وبئس المصير #درع_الفرات https://t.co/6AkRDZMd3O""",4
"""#عاجل :#عرسال :عاصفة ثلجية تهدد حياة الالاف النازحين السوريين في منطقة #عرسال. #ماسة_الثورة_السورية""",4
"""#لو_كان_بخاطري نفسي اطلع لعمل تطوعي لمساعدة النازحين السوريين💔""",2
"""انا اشفق على هيلاري كلنتون فهي مضطره لمناظره ""خبل"" نص كلامه مو مفهوم""",4
"""#دولة_الخلافة  القوات العراقية تفكك العبوات الناسفة التي خلفها داعش بجزيرة الرمادي https://t.co/cvgdVBlMyO `""",4
#ﺣﻤﺪﻳﻦ_ﻋﺎﻭﺯ_ﻳﺤﺎﻛﻢ_ﺍﺳﺪ_ﺍﻟﻌﺮﺏ برضو #سأنتخب_السيسى_و_مش_هنزل_لمستواك,0
انتخاب مرسي بالقطع ليس سبة ولدى اصدقاء لا اشك في ثوريتهم انتخبوه لكني ببساطة لم انتخبه وقاطعت وان كان هو الان الرئيس الشرعي,4
"""#خطر_في_القدس... يزداد الخطر بزيادة الغفلة واللامبالاة في قضايا #القدس وآخرها صوت مآذنها الذي يقاوم #الاحتلال""",4
