Model,Dimension,Macro_F1_Mean,Delta_F1_Mean
AraBERTv2,Validity,50.89454113068206,7.650454969924068
AraBERTv2,Completeness,52.29150827952469,6.253487821081441
AraBERTv2,Consistency,54.10111892812689,4.4438771724792385
AraBERTv2,Textual Accuracy,54.222708051759305,4.322288048846821
AraBERTv2,Understandability,54.7624236142614,3.7825724863447334
CAMeLBERT-Mix,Validity,42.09907580583561,15.207546877805575
CAMeLBERT-Mix,Completeness,49.962120476161054,7.34450220748013
CAMeLBERT-Mix,Textual Accuracy,53.04280679214342,4.2638158914977575
CAMeLBERT-Mix,Consistency,54.098321965765365,3.2083007178758187
CAMeLBERT-Mix,Understandability,55.82286868430797,1.4837539993332216
XLM-R,Validity,35.196159391478,9.648987709499321
XLM-R,Completeness,40.67598677704664,4.169160323930686
XLM-R,Consistency,41.781968371290304,3.063178729687015
XLM-R,Textual Accuracy,42.74142131835593,2.1037257826213898
XLM-R,Understandability,45.881319245450506,-1.036172144473183
