Model,Dimension,Severity_Percent,Clean_Macro_F1,Macro-F1,Accuracy,Delta-F1,Realized Severity
AraBERTv2,Completeness,10,66.96299290767926,66.66 ± 0.76,77.49 ± 0.36,0.31 ± 0.76,10.00%
AraBERTv2,Completeness,20,66.96299290767926,64.70 ± 0.40,76.14 ± 0.10,2.26 ± 0.40,19.99%
AraBERTv2,Completeness,30,66.96299290767926,63.13 ± 0.69,74.53 ± 0.48,3.84 ± 0.69,29.99%
AraBERTv2,Consistency,10,66.96299290767926,66.69 ± 0.43,77.46 ± 0.19,0.27 ± 0.43,10.00%
AraBERTv2,Consistency,20,66.96299290767926,66.28 ± 0.48,76.79 ± 0.20,0.69 ± 0.48,20.01%
AraBERTv2,Consistency,30,66.96299290767926,65.48 ± 0.48,75.64 ± 0.30,1.48 ± 0.48,30.00%
AraBERTv2,Textual Accuracy,10,66.96299290767926,66.33 ± 0.80,77.33 ± 0.31,0.63 ± 0.80,9.97%
AraBERTv2,Textual Accuracy,20,66.96299290767926,64.90 ± 0.55,76.40 ± 0.33,2.06 ± 0.55,19.98%
AraBERTv2,Textual Accuracy,30,66.96299290767926,62.79 ± 0.27,74.60 ± 0.30,4.17 ± 0.27,30.05%
AraBERTv2,Understandability,10,66.96299290767926,67.14 ± 0.55,77.86 ± 0.31,-0.18 ± 0.55,9.16%
AraBERTv2,Understandability,20,66.96299290767926,66.16 ± 0.40,77.19 ± 0.19,0.80 ± 0.40,17.07%
AraBERTv2,Understandability,30,66.96299290767926,64.88 ± 0.81,76.62 ± 0.40,2.08 ± 0.81,25.99%
AraBERTv2,Validity,10,66.96299290767926,66.30 ± 0.63,77.51 ± 0.18,0.66 ± 0.63,10.01%
AraBERTv2,Validity,20,66.96299290767926,65.61 ± 0.28,76.95 ± 0.24,1.35 ± 0.28,20.00%
AraBERTv2,Validity,30,66.96299290767926,63.88 ± 0.41,75.72 ± 0.23,3.08 ± 0.41,29.99%
CAMeLBERT-Mix,Completeness,10,64.86347976153796,64.49 ± 0.49,75.58 ± 0.30,0.38 ± 0.49,10.00%
CAMeLBERT-Mix,Completeness,20,64.86347976153796,63.15 ± 0.38,74.79 ± 0.42,1.72 ± 0.38,19.99%
CAMeLBERT-Mix,Completeness,30,64.86347976153796,61.53 ± 0.59,73.72 ± 0.43,3.33 ± 0.59,29.99%
CAMeLBERT-Mix,Consistency,10,64.86347976153796,64.48 ± 0.57,75.35 ± 0.34,0.39 ± 0.57,10.00%
CAMeLBERT-Mix,Consistency,20,64.86347976153796,63.89 ± 0.32,74.51 ± 0.28,0.97 ± 0.32,20.01%
CAMeLBERT-Mix,Consistency,30,64.86347976153796,62.68 ± 0.73,73.36 ± 0.49,2.18 ± 0.73,30.00%
CAMeLBERT-Mix,Textual Accuracy,10,64.86347976153796,64.15 ± 0.44,75.36 ± 0.47,0.71 ± 0.44,9.97%
CAMeLBERT-Mix,Textual Accuracy,20,64.86347976153796,62.51 ± 0.66,74.35 ± 0.44,2.35 ± 0.66,19.98%
CAMeLBERT-Mix,Textual Accuracy,30,64.86347976153796,59.98 ± 0.22,72.19 ± 0.28,4.89 ± 0.22,30.05%
CAMeLBERT-Mix,Understandability,10,64.86347976153796,64.56 ± 0.37,75.84 ± 0.37,0.31 ± 0.37,9.16%
CAMeLBERT-Mix,Understandability,20,64.86347976153796,64.60 ± 0.32,75.85 ± 0.25,0.26 ± 0.32,17.07%
CAMeLBERT-Mix,Understandability,30,64.86347976153796,64.50 ± 0.91,75.92 ± 0.44,0.36 ± 0.91,25.99%
CAMeLBERT-Mix,Validity,10,64.86347976153796,64.61 ± 0.15,74.87 ± 0.23,0.25 ± 0.15,10.01%
CAMeLBERT-Mix,Validity,20,64.86347976153796,63.51 ± 0.38,73.52 ± 0.17,1.36 ± 0.38,20.00%
CAMeLBERT-Mix,Validity,30,64.86347976153796,61.68 ± 0.42,71.40 ± 0.39,3.19 ± 0.42,29.99%
XLM-R,Completeness,10,62.38874046547942,61.15 ± 0.23,75.69 ± 0.19,1.24 ± 0.23,10.00%
XLM-R,Completeness,20,62.38874046547942,59.34 ± 1.05,74.26 ± 0.65,3.04 ± 1.05,19.99%
XLM-R,Completeness,30,62.38874046547942,57.92 ± 0.91,72.87 ± 0.54,4.47 ± 0.91,29.99%
XLM-R,Consistency,10,62.38874046547942,61.28 ± 0.62,75.89 ± 0.23,1.11 ± 0.62,10.00%
XLM-R,Consistency,20,62.38874046547942,60.47 ± 0.35,75.32 ± 0.27,1.92 ± 0.35,20.01%
XLM-R,Consistency,30,62.38874046547942,59.88 ± 0.70,74.83 ± 0.21,2.51 ± 0.70,30.00%
XLM-R,Textual Accuracy,10,62.38874046547942,60.00 ± 0.31,75.53 ± 0.13,2.38 ± 0.31,9.97%
XLM-R,Textual Accuracy,20,62.38874046547942,59.17 ± 0.69,74.83 ± 0.31,3.22 ± 0.69,19.98%
XLM-R,Textual Accuracy,30,62.38874046547942,58.31 ± 0.53,73.80 ± 0.61,4.07 ± 0.53,30.05%
XLM-R,Understandability,10,62.38874046547942,61.09 ± 0.47,75.71 ± 0.10,1.30 ± 0.47,9.16%
XLM-R,Understandability,20,62.38874046547942,60.46 ± 0.55,75.43 ± 0.20,1.93 ± 0.55,17.07%
XLM-R,Understandability,30,62.38874046547942,59.88 ± 0.48,74.92 ± 0.22,2.51 ± 0.48,25.99%
XLM-R,Validity,10,62.38874046547942,60.99 ± 0.30,75.90 ± 0.10,1.40 ± 0.30,10.01%
XLM-R,Validity,20,62.38874046547942,59.43 ± 0.60,75.40 ± 0.30,2.96 ± 0.60,20.00%
XLM-R,Validity,30,62.38874046547942,58.29 ± 0.60,74.91 ± 0.34,4.10 ± 0.60,29.99%
